AnchorID;length;hef;lhd;lcrp;NRk_s;VRk_s;NRk_p_cr_C20;gamma_Ms_N;gamma_Ms_V;k_8;d_nom;A_h
T-FIXX_M12x70;70;62.5;9.5;8.5;29.2;14.6;28.3;1.74;1.45;2;17;188.5
CONFIXX_M12x70;70;62.9;9.1;8.5;40.3;24.18;33.81;2.09;1.74;2;17;191
